Question,Answering
What is Spectra Dashboard?,"Spectra Dashboards provides a central location for users to access, interact and analyze up-to-date information so they can make smarter, data-driven decisions. It provides interactive visualizations to find answers and handle large amounts of business data."
How do I log on to the Spectra Dashboard?,"To log on, a user must be authorized. You need to manually type your username and password on the login screen and click the login button. The login type is set up by your system administrator."
What are the language options available in Spectra Dashboard?,"Spectra Dashboard offers three different language options, including Arabic, which allows the dashboard to be viewed from right to left."
How can I select a branch in the Dashboard?,"You can use the branch selector button. If it's the first time, it shows ""View all branches"". You can select a single branch, a region, or multiple branches/regions using the multiselect component."
How does the date picker work?,"The date picker is located at the top right. You can select ""Last 7 Days"", ""Last 30 Days"", or a ""Custom Range"". The forward arrow is disabled if the end date is after today's date."
What are Wavetec Sections?,"Wavetec sections have three predefined categories: Summary, Tellers, and Counters. These allow users to see data by selecting specific regions, branches, and date ranges."
What does the Service Component display?,"The Service Component shows real-time and historical data for service compliance, including a service gauge, the total number of clients served, and the average service time for selected regions or branches."
How can I export or print a chart?,"Click on the burger menu on the top right of the component. You can print the chart or download it as a PNG, JPEG, SVG vector image, or PDF document."
How do I search for a specific teller?,"Go to the 'Tellers' category under 'Wavetec section', click on the search bar on the top right, enter the teller's name, and press enter."
What information is available in the Teller Activity Log?,"The activity log shows tickets served, average service time, logged time, and days worked. It has dedicated tabs for Service (Serving, Back Office, Idle), Category, and Back Office activities."
How can I create a custom section in 'My Sections'?,"Click on 'New Section', add a title (max 20 characters, no special characters), drag and drop components into the designated area, and click 'Save'."
How do I delete a custom section?,"Go to 'My Sections', select the section to delete, click the vertical three-dots menu, select 'Delete', and confirm by clicking 'Yes'."
What is FIFO calling logic?,"FIFO (First-In, First-Out) is based on a first-come, first-served basis, ensuring that the customer who arrives first is served first."
What is Round Robin calling logic?,"In Round Robin, one ticket is called from each assigned category in a loop. For example, if a teller has four categories, they serve one ticket from each in succession."
How does Overflow calling logic work?,"Overflow logic uses priorities (1-10). The highest priority category is served first until empty. It also includes a Time Limit feature to prevent lower priority tickets from waiting too long (the ""black hole"" effect)."
What is an Auxiliary Profile?,"An auxiliary profile automatically changes the current calling profile to one assigned on a counter that is currently inactive (e.g., if a teller is on lunch or absent), merging categories so customers don't suffer."
What does the Hardware Monitoring Module do?,"It monitors hardware devices configured with the branch, such as Spectra, Smart Kiosk, Magnetic card readers, Donatello, Printers, and Announcement Control Units, to ensure they are functional."
What are Web Reports?,The reporting module provides access to information on branch operations for specific periods. It offers exportable formats like XLS and PDF and consists of two main sections: Service Performance and Teller Performance.
What is the Ticket Tracker Report?,"It allows users to track specific tickets using filters like Date (Current/Past), Branch, Category, Status, and Ticket Number."
"What is the difference between Counter, Operator, and Hybrid operational contexts?","In Counter mode, profiles are associated with counters. In Operator mode, they are associated with operator roles. In Hybrid mode, both are active, but counter-associated profiles take priority."
What are the three categories in Wavetec Sections?,"The three categories are Summary, Tellers, and Counters."
What does the Waiting Component show?,"It shows the waiting gauge, total number of tickets waiting, and average waiting time for the selected regions or branches. It works only on real-time data."
How can I view the activity detail of a teller?,"Go to the Tellers category, search for the particular teller, click on them, and an activity log box will appear on the right side with detailed information."
What are the limitations for custom section titles?,The name of a custom section should not exceed 20 characters. Special characters and spacing are not accepted.
What does the 'SLA' indicate in the Waiting Component?,"When historical dates are selected, the component shows 'SLA' instead of 'total waiting'."
What is the purpose of Group Management?,Group Management allows users to create groups comprising multiple categories for streamlined data access and management.
How do I add a new group in Group Management?,"Go to the Group Management tab, click 'Group Creation', click 'Add Group', enter a name, select categories, and click 'Save'."
What is the Hourly Detail report?,"A report in the Service Performance section that presents ticket service data structured on an hourly basis, providing a detailed breakdown of performance hour by hour."
What does the Receptionist Report in Teller Performance cover?,"It provides an account of back-office operations performed by a teller at a designated counter, including details of tickets issued by that teller."
How do I change the language to Arabic on the Dashboard?,"Language options are available on the login screen. Selecting Arabic will cause the dashboard and its components (reports, settings, etc.) to display from right to left."
